Title,Genre,Rating,Duration,Votes,GenreMain
1. Gladiator II,Action,6.5,2h 28m, (255K),Action
2. Dune: Part Two,Action,8.5,2h 46m, (645K),Action
3. Fight or Flight,Action,6.4,1h 42m, (15K),Action
4. Twisters,Action,6.5,2h 2m, (176K),Action
5. Kraven the Hunter,Action,5.5,2h 7m, (64K),Action
6. Deadpool & Wolverine,Action,7.5,2h 8m, (509K),Action
7. The Ministry of Ungentlemanly Warfare,Action,6.8,2h 2m, (140K),Action
8. Sonic the Hedgehog 3,Action,6.9,1h 50m, (66K),Action
9. Carry-On,Action,6.5,1h 59m, (173K),Action
10. Civil War,Action,7.0,1h 49m, (245K),Action
11. The Beekeeper,Action,6.3,1h 45m, (163K),Action
12. Venom: The Last Dance,Action,6.0,1h 50m, (131K),Action
13. Furiosa: A Mad Max Saga,Action,7.5,2h 28m, (293K),Action
14. Land of Bad,Action,6.6,1h 53m, (53K),Action
15. The Fall Guy,Action,6.8,2h 6m, (228K),Action
16. The Count of Monte-Cristo,Action,7.6,2h 58m, (38K),Action
17. Road House,Action,6.2,2h 1m, (171K),Action
18. Rebel Ridge,Action,6.8,2h 11m, (91K),Action
19. Role Play,Action,5.5,1h 40m, (19K),Action
20. Argylle,Action,5.6,2h 19m, (94K),Action
21. 40 Acres,Action,7.0,1h 53m,-506,Action
22. Borderlands,Action,4.7,1h 41m, (51K),Action
23. Transformers One,Action,7.6,1h 44m, (55K),Action
24. Freaky Tales,Action,6.2,1h 47m, (7.5K),Action
25. The Unholy Trinity,Action,6.0,1h 35m,-561,Action
26. The Killer,Action,5.7,2h 6m, (14K),Action
27. Damsel,Action,6.1,1h 50m, (112K),Action
28. Madame Web,Action,4.1,1h 56m, (104K),Action
29. William Tell,Action,5.7,2h 14m, (3.2K),Action
30. The Union,Action,5.4,1h 47m, (54K),Action
31. Bad Boys: Ride or Die,Action,6.5,1h 55m, (103K),Action
32. Dirty Angels,Action,4.4,1h 44m, (4.2K),Action
33. Kingdom of the Planet of the Apes,Action,6.8,2h 25m, (155K),Action
34. The Crow,Action,4.7,1h 51m, (37K),Action
35. Maharaja,Action,8.4,2h 21m, (71K),Action
36. Godzilla x Kong: The New Empire,Action,6.0,1h 55m, (125K),Action
37. Homestead,Action,5.2,1h 52m, (4.2K),Action
38. Absolution,Action,5.2,1h 52m, (9K),Action
39. Monkey Man,Action,6.8,2h 1m, (94K),Action
40. Red One,Action,6.3,2h 3m, (143K),Action
41. The Instigators,Action,6.2,1h 41m, (39K),Action
42. The Lord of the Rings: The War of the Rohirrim,Action,6.3,2h 14m, (33K),Action
