Title,Genre,Rating,Duration,Votes
1. The Ministry of Ungentlemanly Warfare,Animation,6.8,2h 2m, (140K)
2. William Tell,Animation,5.7,2h 14m, (3.3K)
3. Dirty Angels,Animation,4.4,1h 44m, (4.2K)
4. The Six Triple Eight,Animation,6.7,2h 7m, (28K)
5. Nr. 24,Animation,7.5,1h 51m, (16K)
6. Blitz,Animation,6.2,2h, (17K)
7. My Dead Friend Zoe,Animation,6.5,1h 43m, (2.8K)
"8. Canadian, Sniper",Animation,3.4,1h 23m,-368
9. Uprising,Animation,6.6,2h 6m, (6K)
10. Amaran,Animation,8.1,2h 47m, (20K)
11. Chandu Champion,Animation,7.8,2h 22m, (35K)
12. Decoded,Animation,5.7,2h 36m,-467
13. Goebbels and the Führer,Animation,6.7,2h 15m, (2.6K)
14. The Last Front,Animation,5.5,1h 38m,-640
15. Without Blood,Animation,7.3,1h 31m,-112
16. Invasion,Animation,4.8,1h 31m,-755
17. Laws of Man,Animation,5,1h 38m, (1.4K)
18. Battlefield,Animation,6.2,1h 44m,-711
19. Bau: Artist at War,Animation,7.2,2h 10m,-65
20. In the Fire of War,Animation,7.1,1h 55m,-211
21. Before Dawn,Animation,5.4,1h 41m, (1.1K)
22. Murder Company,Animation,3.6,1h 26m, (1.6K)
23. The Ballad of Davy Crockett,Animation,4.6,1h 36m,-265
24. 24 Hours to D-Day,Animation,3.5,1h 23m,-85
25. Kang Mak,Animation,6.4,2h 2m,-897
26. Ei koskaan yksin,Animation,7.1,1h 25m,-463
27. Escape from Germany,Animation,5.4,1h 37m, (1.1K)
28. Der Deserteur,Animation,8.7,1h 33m,-28
29. Le quatrième mur,Animation,6.3,1h 56m,-147
30. The Witch: Revenge,Animation,5.3,1h 40m,-879
31. Captain Miller,Animation,6.9,2h 37m, (12K)
32. Call of Duty,Animation,8.6,N/A,-13
33. All the Lost Ones,Animation,3.6,1h 46m,-273
34. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Animation,8.2,2h 54m,-673
"35. Love, Courage and the Battle of Bushy Run",Animation,5,1h 53m,-196
36. Quisling: The Final Days,Animation,7.1,2h 26m, (1.3K)
37. The Friendly,Animation,9,1h 41m,-29
38. Drava se ne predaje,Animation,7.4,1h 16m,-11
39. Conquer: Lahad Datu,Animation,6.6,2h,-550
40. Atatürk II: 1881-1919,Animation,8.9,2h 21m, (2.3K)
41. Hitler,Animation,5.2,2h 8m,-316
42. The Volunteers: The Battle of Life and Death,Animation,6.1,2h 24m,-250
43. The Shamrock Spitfire,Animation,5.2,1h 48m,-497
44. The Yin Yang Master Zero,Animation,5.7,1h 52m,-294
45. WWII: Operation Phoenix,Animation,5.7,1h 46m,-101
46. Chhava,Animation,8.4,51m, (2.3K)
47. The Epidemic,Animation,5.9,1h 35m,-71
