Title,Genre,Rating,Duration,Votes
1. A Complete Unknown,Biography,7.3,2h 21m, (94K)
2. I'm Still Here,Biography,8.2,2h 17m, (114K)
3. The Apprentice,Biography,7.1,2h 2m, (61K)
4. Saturday Night,Biography,6.9,1h 49m, (33K)
5. Better Man,Biography,7.6,2h 15m, (33K)
6. William Tell,Biography,5.7,2h 14m, (3.3K)
7. Queer,Biography,6.4,2h 17m, (24K)
8. I'm Your Venus,Biography,7.1,1h 25m,-412
9. Maria,Biography,6.4,2h 4m, (21K)
10. Queen of the Ring,Biography,6.3,2h 9m, (2.2K)
11. Nr. 24,Biography,7.5,1h 51m, (16K)
12. Young Woman and the Sea,Biography,7.5,2h 9m, (18K)
13. Ordinary Angels,Biography,7.4,1h 58m, (16K)
14. The Remarkable Life of Ibelin,Biography,8.2,1h 43m, (13K)
15. Reagan,Biography,6.1,2h 21m, (12K)
16. Joy,Biography,7.1,1h 55m, (10K)
17. The Bibi Files,Biography,7.5,1h 55m, (1.4K)
18. Pavements,Biography,7.2,2h 8m,-400
19. Piece by Piece,Biography,6.9,1h 33m, (6.3K)
20. Back to Black,Biography,6.3,2h 2m, (27K)
21. Unfrosted,Biography,5.5,1h 37m, (35K)
22. Bob Marley: One Love,Biography,6.2,1h 47m, (35K)
23. Scoop,Biography,6.5,1h 42m, (21K)
"24. From Hilde, with Love",Biography,6.9,2h 5m, (1.2K)
25. Amaran,Biography,8.1,2h 47m, (20K)
26. Cabrini,Biography,7.3,2h 22m, (9.1K)
27. One to One: John & Yoko,Biography,7.3,1h 41m,-678
28. Bonhoeffer: Pastor. Spy. Assassin.,Biography,6.2,2h 13m, (3.9K)
29. Super/Man: The Christopher Reeve Story,Biography,8,1h 44m, (9.8K)
30. Winner,Biography,6.5,1h 43m, (2.7K)
31. The Great Lillian Hall,Biography,7.3,1h 50m, (2.1K)
32. Jim Henson: Idea Man,Biography,7.7,1h 51m, (3.9K)
33. Chandu Champion,Biography,7.8,2h 22m, (35K)
34. The Fire Inside,Biography,6.7,1h 49m, (3.1K)
35. Monsieur Aznavour,Biography,7.3,2h 13m, (2.9K)
36. Midas Man,Biography,6.4,1h 52m, (1.7K)
37. Rob Peace,Biography,6.5,2h, (2.3K)
38. Music by John Williams,Biography,8.2,1h 45m, (5.1K)
39. Race for Glory: Audi vs. Lancia,Biography,5.8,1h 49m, (5.1K)
40. The Beach Boys,Biography,7.1,1h 53m, (2.3K)
41. Goebbels and the Führer,Biography,6.7,2h 15m, (2.6K)
42. Saint-Exupéry,Biography,5.4,1h 38m,-555
43. Blur: To the End,Biography,7.2,1h 44m,-759
44. The Great Ambition,Biography,7.1,2h 3m,-894
45. El 47,Biography,7.2,1h 50m, (3.6K)
46. I Am Nevenka,Biography,7,1h 52m, (1.2K)
47. Harbin,Biography,6.2,1h 48m,-991
48. The Divine Sarah Bernhardt,Biography,6.4,1h 38m,-372
49. Faye,Biography,7.1,1h 31m, (3.1K)
50. Bir Cumhuriyet Sarkisi,Biography,7.4,2h 8m, (1.4K)
51. Riefenstahl,Biography,7.1,1h 55m,-819
52. La Casa,Biography,6.9,1h 23m, (1K)
53. The Truth vs. Alex Jones,Biography,7.5,2h 1m, (3.1K)
54. Audrey's Children,Biography,7.1,1h 50m,-437
55. Marco,Biography,6.8,1h 41m, (1.4K)
56. Gundi: Legend of Love,Biography,8.9,2h 46m, (5.7K)
57. Shirley,Biography,6.2,1h 57m, (3.4K)
58. Amar Singh Chamkila,Biography,7.8,2h 25m, (17K)
59. Unexplainable,Biography,7.1,1h 56m,-335
60. Niki,Biography,6.1,1h 38m,-477
61. The Flood,Biography,6.4,1h 41m,-357
62. Maharaj,Biography,6.5,2h 11m, (15K)
63. Being Maria,Biography,6.1,1h 40m,-799
64. Janis Ian: Breaking Silence,Biography,7.8,1h 54m,-144
65. Liza: A Truly Terrific Absolutely True Story,Biography,7.6,1h 44m,-485
66. Srikanth,Biography,7.4,2h 14m, (14K)
67. Stevie Van Zandt: Disciple,Biography,7.9,2h 27m,-696
68. Ernest Cole: Lost and Found,Biography,7.2,1h 45m,-410
69. Avicii - I'm Tim,Biography,7.7,1h 35m, (7.4K)
70. Limonov: The Ballad of Eddie,Biography,5.9,2h 18m, (1.1K)
71. The Ballad of Davy Crockett,Biography,4.6,1h 36m,-265
72. Garbo: Where Did You Go?,Biography,5.8,1h 30m,-248
73. Dharmaveer 2,Biography,5.3,2h 10m, (11K)
74. Federer: Twelve Final Days,Biography,7.3,1h 28m, (4.2K)
75. Blue Road: The Edna O'Brien Story,Biography,8,1h 39m,-102
76. Ravens,Biography,7.9,1h 57m,-83
77. Hola Frida,Biography,7.1,1h 22m,-50
78. ZEF: The Story of Die Antwoord,Biography,7.4,1h 30m,-834
79. Hayatla Baris,Biography,6.3,2h 5m,-408
80. Elton John: Never Too Late,Biography,6.5,1h 42m, (2K)
81. Levoton Tuhkimo,Biography,6.4,1h 28m,-482
82. Faith of Angels,Biography,5.9,1h 38m,-287
83. Nasty,Biography,7.7,1h 43m, (1.1K)
84. Simona Kossak,Biography,6,1h 40m,-393
85. Münter & Kandinsky,Biography,6.3,2h 6m,-114
86. Becoming Hitchcock: The Legacy of Blackmail,Biography,7.2,1h 12m,-284
87. La Grande,Biography,9,1h 35m,-42
88. Gary,Biography,6.6,1h 31m,-552
89. The World According to Allee Willis,Biography,8,1h 37m,-103
90. Maidaan,Biography,7.9,3h 1m, (23K)
91. Boléro,Biography,6.6,2h,-904
92. Papa,Biography,7.5,2h 11m,-359
"93. Enescu, Skinned Alive",Biography,4.9,N/A,-141
94. Freedom,Biography,5.9,1h 50m, (1.5K)
95. Drazen,Biography,6.5,1h 40m, (1.6K)
96. Wingless,Biography,7.3,1h 50m,-215
97. Biggest Heist Ever,Biography,6.1,1h 25m, (1.6K)
98. Prodigieuses,Biography,6.6,1h 41m,-226
99. Stelios,Biography,7.3,2h 12m, (1.6K)
100. Oxana,Biography,6.4,1h 43m,-86
101. The Firing Squad,Biography,5.1,1h 33m, (5.1K)
102. Road Diary: Bruce Springsteen and the E Street Band,Biography,7.7,1h 39m, (1.1K)
103. Luther: Never Too Much,Biography,8.1,1h 41m,-915
104. Quisling: The Final Days,Biography,7.1,2h 26m, (1.3K)
105. Swatantrya Veer Savarkar,Biography,7.7,2h 56m, (18K)
106. A Bronx Tale: The Original One Man Show,Biography,7.6,N/A,-28
107. Madu,Biography,5.3,1h 40m,-272
