Title,Genre,Rating,Duration,Votes
1. The Wild Robot,Family,8.2,1h 42m, (185K)
2. Sonic the Hedgehog 3,Family,6.9,1h 50m, (66K)
3. Mufasa: The Lion King,Family,6.6,1h 58m, (72K)
4. Flow,Family,7.9,1h 25m, (86K)
5. Moana 2,Family,6.5,1h 40m, (110K)
6. The Day the Earth Blew Up: A Looney Tunes Movie,Family,6.9,1h 31m, (6.1K)
7. Transformers One,Family,7.6,1h 44m, (55K)
8. Inside Out 2,Family,7.5,1h 36m, (224K)
9. Paddington in Peru,Family,6.7,1h 46m, (26K)
10. Despicable Me 4,Family,6.2,1h 34m, (69K)
11. IF,Family,6.4,1h 44m, (60K)
12. Kung Fu Panda 4,Family,6.3,1h 34m, (71K)
13. Young Hearts,Family,7.9,1h 39m, (5.8K)
14. Wallace & Gromit: Vengeance Most Fowl,Family,7.5,1h 22m, (36K)
15. How to Make Millions Before Grandma Dies,Family,7.9,2h 5m, (17K)
16. Meiyazhagan,Family,8.4,2h 57m, (16K)
17. The Garfield Movie,Family,5.7,1h 41m, (25K)
18. Luv Ki Arrange Marriage,Family,4.1,2h 15m, (4.9K)
19. Piece by Piece,Family,6.9,1h 33m, (6.3K)
20. Spellbound,Family,5.5,1h 49m, (8K)
21. Palayam PC,Family,5.3,1h 58m,-809
22. Harold and the Purple Crayon,Family,5.7,1h 30m, (8.9K)
23. Descendants: The Rise of Red,Family,4.7,1h 31m, (7.3K)
24. Ultraman: Rising,Family,6.9,1h 57m, (6.7K)
25. The Forge,Family,6.7,2h 4m, (5.2K)
26. Orion and the Dark,Family,6.3,1h 33m, (18K)
27. And the Breadwinner Is...,Family,6,2h 3m,-471
28. You Gotta Believe,Family,5.8,1h 44m, (1.4K)
29. Doraemon the Movie: Nobita's Earth Symphony,Family,6.6,1h 55m, (1.6K)
30. Crayon Shin-chan: Our Dinosaur Diary,Family,6.6,1h 46m,-617
31. Unsung Hero,Family,7,1h 53m, (5.2K)
32. Bibi Rajni,Family,8.5,2h 23m,-744
33. The Thundermans Return,Family,5,1h 10m, (1.9K)
34. Big World,Family,7.3,2h 11m, (1.5K)
35. A Brother and 7 Siblings,Family,8.5,2h 9m, (1.2K)
36. Thelma the Unicorn,Family,5.7,1h 33m, (3.1K)
37. Hitpig,Family,5.1,1h 26m, (1.1K)
38. That Christmas,Family,6.8,1h 31m, (17K)
39. Buffalo Kids,Family,6.6,1h 33m,-779
40. Big City Greens the Movie: Spacecation,Family,6.2,1h 23m,-589
41. Saving Bikini Bottom: The Sandy Cheeks Movie,Family,3.7,1h 22m, (4K)
42. Night of the Zoopocalypse,Family,6,1h 31m,-953
43. Cup,Family,8.6,2h 26m,-86
44. Bambi: A Tale of Life in the Woods,Family,5.6,1h 18m,-266
45. Runt,Family,6.4,1h 31m,-592
46. Woody Woodpecker Goes to Camp,Family,4.5,1h 40m, (2.7K)
47. Chuck Billy and the Marvelous Guava Tree,Family,7.4,1h 30m, (1.2K)
48. The Night Before Christmas in Wonderland,Family,6.3,1h 20m,-527
49. My Penguin Friend,Family,6.8,1h 37m, (5.8K)
50. Megamind vs. The Doom Syndicate,Family,2.5,1h 23m, (5.7K)
51. A Sudden Case of Christmas,Family,5.1,1h 31m, (1.2K)
52. 10 Lives,Family,5.9,1h 28m, (2.1K)
53. Robin and the Hoods,Family,4.3,1h 40m,-543
54. The Tiger's Apprentice,Family,5.8,1h 24m, (2.3K)
55. Return to Wickensburg,Family,4.7,1h 28m,-82
56. Kallu Compound 1995,Family,7.9,2h 20m, (2K)
57. Rebellious,Family,6.1,1h 34m,-242
58. Savages,Family,6.8,1h 27m,-397
59. Average Joe,Family,4.3,1h 40m,-601
60. Der Buchspazierer,Family,7.2,1h 38m,-521
61. Home Sweet Loan,Family,8,1h 52m, (1.1K)
62. Bila Esok Ibu Tiada,Family,6.7,1h 44m,-364
63. Dalia and the Red Book,Family,5.9,1h 47m,-155
64. Ole Aale,Family,8.6,2h 22m,-415
65. Man and Witch: The Dance of a Thousand Steps,Family,5.5,1h 34m,-356
66. Panda Plan,Family,5.1,1h 39m, (1.6K)
67. Not Just a Goof,Family,7.8,1h 27m,-441
68. Woodwalkers,Family,5.3,1h 43m,-531
69. Paper Flowers,Family,8.5,1h 40m,-37
70. Faith of Angels,Family,5.9,1h 38m,-287
71. Super-Charlie,Family,5.8,1h 20m,-175
72. Father There is Only One 4,Family,5.2,1h 30m,-669
73. Noah's Ark,Family,4.3,1h 36m,-706
74. 200% Wolf,Family,5.9,1h 38m, (1.3K)
75. Panda Bear in Africa,Family,5.5,1h 24m,-383
76. Ryan's World the Movie: Titan Universe Adventure,Family,1.8,1h 20m,-736
77. The Neon Highway,Family,6,1h 53m,-529
78. 2nd Miracle in Cell No. 7,Family,7.4,2h 27m,-348
79. A Sloth Story,Family,5.6,1h 30m,-240
80. Autumn and the Black Jaguar,Family,5.6,1h 40m, (1.1K)
81. Disaster Holiday,Family,4.8,1h 33m,-761
82. Not a Clue,Family,3.7,48m,-30
83. Miracle Mile,Family,7.6,1h 22m,-37
84. Guest from the Future,Family,6,2h 21m, (1.3K)
85. No Time to Spy: A Loud House Movie,Family,6.3,1h 21m,-504
86. Diplodocus,Family,6.4,1h 33m,-200
87. Dongeng Sang Kancil,Family,6.6,1h 39m,-226
88. Believe in Christmas,Family,6.1,1h 30m,-861
89. Juliette au printemps,Family,6.4,1h 35m,-317
90. My Oni Girl,Family,6,1h 52m, (1.9K)
91. The Groomsmen: First Look,Family,6.1,1h 22m,-412
92. Going Viral,Family,7.1,1h 30m,-305
93. Sunny,Family,7.5,2h 2m,-37
94. Fear,Family,8.3,1h 55m, (2.8K)
95. Gracie and Pedro: Pets to the Rescue,Family,5,1h 27m,-291
96. Gharat Ganpati,Family,7.8,2h 19m,-529
97. The Magician's Raincoat,Family,5.1,N/A,-131
98. My Freaky Family,Family,6.1,1h 26m,-424
99. Véletlenül írtam egy könyvet,Family,7.4,1h 38m,-806
100. DeAr,Family,5.1,2h 12m, (1.7K)
101. Daaru Na Peenda Hove,Family,7.5,1h 51m, (2.3K)
102. Storm Crashers,Family,6.2,1h 28m,-585
103. Ghudchadi,Family,4.2,1h 53m,-576
104. Marry Christmas,Family,6.3,1h 25m,-67
"105. Love, Sitara",Family,5.3,1h 45m,-309
106. Karina,Family,6.3,1h 30m,-51
107. Brother,Family,6.1,2h 20m, (2.3K)
108. Laggam,Family,8.2,2h 10m, (5.1K)
109. Rally Caps,Family,5.6,1h 40m,-145
110. Like a Rolling Stone,Family,7.7,1h 46m,-510
111. Ghost Cat Anzu,Family,6.5,1h 37m,-865
112. A Nashville Wish,Family,5.6,1h 42m,-99
113. School of Magical Animals 3,Family,5.7,1h 45m,-355
114. Brewster's Millions: Christmas,Family,5.6,1h 40m,-199
115. Grrr...,Family,4,2h 1m,-987
116. The Casagrandes Movie,Family,5.6,1h 29m,-696
117. The Lost Tiger,Family,7.4,1h 30m,-58
118. The Legend of Catclaws Mountain,Family,3.3,1h 44m,-190
119. Little Emma,Family,5.4,1h 46m,-135
120. Victoria må dø,Family,5.9,1h 25m,-393
121. Inanimate Insanity II: The Movie,Family,8.2,1h 46m,-249
122. The Primrose Railway Children,Family,5,1h 21m,-152
123. Peppa's Cinema Party,Family,4.9,1h 5m,-157
124. Aamar Boss,Family,8.7,2h 19m,-537
125. Niko: Beyond the Northern Lights,Family,6.1,1h 26m,-355
126. Kardes Takimi,Family,3.5,1h 35m,-578
127. Nadanna Sambhavam,Family,5.8,2h, (1.7K)
128. The Snow Sister,Family,7,1h 36m, (2.2K)
129. My Eyes,Family,3.9,1h 27m,-46
130. Hashtag Tadev lagnam,Family,6.5,1h 58m,-158
131. Depth of Field,Family,7.8,N/A,-38
132. Elli and the Ghostly Ghost Train,Family,5,1h 26m,-110
133. Treasure Trackers,Family,5.7,1h 32m,-174
134. Living Large,Family,6.9,1h 20m,-180
135. Singapore Saloon,Family,6,2h 17m, (1.3K)
136. Skelly,Family,5.5,1h 25m,-99
137. Rajakili,Family,5.1,2h 2m,-621
138. The Adventures of Jurassic Pet: Return to the Wild,Family,5.3,1h 30m,-84
139. Rajkumar,Family,7.4,2h 25m, (2.7K)
140. We Believe,Family,3.3,N/A,-20
141. Chhota Bheem and the Curse of Damyaan,Family,4.8,2h 25m, (2.3K)
142. Dance Rivals,Family,5.9,1h 33m,-75
143. Magic Beach,Family,5.3,1h 20m,-70
144. Dog Days,Family,6.7,2h,-332
145. Dedh Bigha Zameen,Family,6.9,1h 40m,-774
146. The Proud Princess,Family,6.4,1h 24m,-141
147. The Big Trip 3: Race Around the World,Family,5.6,1h 25m,-68
148. Stinky Summer,Family,5.4,1h 30m,-58
149. Hank's Christmas Wish 2: The Nutcracker,Family,2.7,N/A,-22
150. Børnene fra Sølvgade,Family,6.8,1h 42m,-130
"151. Die Heinzels: Neue Mützen, Neue Mission",Family,6,1h 16m,-107
